"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"APR",37.92,34.44,37.04,37.22,37.72,36.63,36.58,
"MAY",37.46,36.96,38.36,38.39,39.16,38.2,39.06,
"JUN",36.63,37.4,37.01,37.72,38.37,38.36,38,
"JUL",34.5,34.73,33.62,35.38,36.47,36.45,36.05,
"AUG",34.87,34.97,33.34,33.2,35.15,35.92,34.94,
"SEP",35.02,35.51,35.06,35.02,35.13,36.06,36.17,
"OCT",34.06,34.15,34.57,33.41,35.06,34.08,35.64,
"NOV",32.39,31.45,28.7,30.72,32.66,32.19,31.7,
"DEC",30.02,28.53,28.3,28.94,29.11,29.58,27.53,
"JAN",27.03,26.12,27.49,23.16,28.17,29.23,29.51,
"FEB",26.46,30.83,32.08,25.48,33.5,31.26,30.22,
"MAR",32.47,35.38,33.29,31.48,33.1,32.55,32.63,
"APR",36.62,36.19,37.68,36.68,35.67,38.65,36.63,
"MAY",38.26,37.18,37.41,37.3,38.15,37.56,39.16,
"JUN",37.87,38.16,37.44,37.66,37.81,39.04,37.7,
"JUL",35.11,35.62,35.9,36.51,35.34,36.68,37.09,
"AUG",33.14,34.67,34.85,35.56,34.59,36.12,34.38,
"SEP",34.1,36.01,35.66,35.91,35.72,37.08,36.01,
"OCT",33.71,35.15,35,33.89,34.12,35.81,33.82,
"NOV",31.67,31.13,32.72,31,31.86,31.52,32.29,
"DEC",28.34,29.67,26.1,26.86,28.76,28.44,28.15,
"JAN",27,27.57,27.56,27.53,27.45,29.97,25.34,
"FEB",30.17,29.73,28.86,26.66,28.3,32.3,28.22,
"MAR",32.49,32.32,34.17,29.94,31.46,33.89,34.31,
"APR",36.78,36.28,37.19,37.28,36.98,37.96,36.88,
"MAY",37.35,38.2,38.3,38.39,38.38,39.07,38.18,
"JUN",37.75,37.34,37.01,37.98,37.66,38.9,38.72,
"JUL",35.74,34.51,34.64,36.02,36.63,35.82,36.4,
"AUG",35.45,34.23,35.01,36.07,35.66,35.71,33.77,
"SEP",35.02,34.69,35.31,35.77,35.92,35.89,36.42,
"OCT",34.9,33.54,34.89,35.32,33.61,36.37,35.92,
"NOV",30.81,30.36,31.16,33.66,31.26,33.65,30.75,
"DEC",31.39,26.3,27.98,31.75,27.31,28.95,30.35,
