"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"APR",30.53,27.13,29.79,29.62,30.28,29.87,29.15,
"MAY",30.62,29.93,31.35,31.58,32.36,31.36,32.36,
"JUN",30.36,30.76,30.39,31.5,31.95,31.96,31.94,
"JUL",29.2,29.2,28.43,29.92,30.63,30.61,30.53,
"AUG",29.27,29.22,27.91,28.28,29.99,30.44,29.7,
"SEP",28.86,29.31,28.89,29.17,29.61,30.18,30.42,
"OCT",27.11,27.68,28.05,27.09,28.54,27.66,29.24,
"NOV",25.1,24.51,21.73,23.71,25.61,25.1,24.92,
"DEC",22.42,20.94,20.87,22.03,21.94,22.61,20.76,
"JAN",19.62,18.74,19.91,16.31,20.95,21.94,21.96,
"FEB",19.14,22.82,24.25,18.46,25.66,23.83,23.28,
"MAR",24.5,28.02,25.69,24.25,25.14,25.04,25.41,
"APR",28.98,29.25,30.05,29.12,28.33,31.34,29.41,
"MAY",31.11,30.44,30.62,30.97,31.64,31,32.52,
"JUN",31.23,31.53,31.2,31.12,31.46,32.51,31.84,
"JUL",29.26,29.71,30,30.46,29.85,31.01,31.27,
"AUG",28.04,29.11,29.27,29.93,29.32,30.56,29.36,
"SEP",28.13,29.76,29.53,29.95,29.88,30.81,30.25,
"OCT",26.76,28.51,28.39,27.39,28.04,29.24,28.22,
"NOV",24.32,24.14,25.7,24.17,24.89,24.86,25.45,
"DEC",20.74,21.96,18.78,20,21.7,21.12,21.19,
"JAN",19.14,19.9,19.83,20.54,20.34,22.57,18.34,
"FEB",22.36,22.01,21.51,19.97,21.33,24.9,21.12,
"MAR",24.74,24.58,26.49,22.82,23.77,26.67,26.78,
"APR",29.23,28.74,29.65,29.83,29.66,30.59,29.54,
"MAY",30.42,31.04,31.35,31.45,31.57,32.06,31.64,
"JUN",31.17,30.65,30.68,31.42,31.2,32.51,32.26,
"JUL",29.83,28.95,29.19,30.19,30.75,30.53,30.79,
"AUG",29.58,28.74,29.29,30.09,29.92,30.44,28.99,
"SEP",28.88,28.7,29.2,29.76,29.76,30.09,30.6,
"OCT",28.19,26.97,28.38,28.86,27.1,29.87,29.32,
"NOV",23.67,23.45,24.33,26.86,24.22,26.88,24.14,
"DEC",24.02,18.98,21,24.77,20.44,21.95,22.99,
