,Corruption_Contol,Effectiveness_Government,Political_Stability_And_Absence_of_Violence_Terrorism,Regulatory_Quality,Rule_of_Law,Voice_And_Accountability,Open,High,Low,Close
2007-01-01,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.76,0.77,0.76,0.77
2007-01-02,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7603225806451613,0.7703225806451613,0.7593548387096775,0.7690322580645161
2007-01-03,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7606451612903226,0.7706451612903226,0.7587096774193548,0.7680645161290323
2007-01-04,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7609677419354839,0.7709677419354839,0.7580645161290323,0.7670967741935484
2007-01-05,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7612903225806452,0.7712903225806452,0.7574193548387097,0.7661290322580645
2007-01-06,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7616129032258064,0.7716129032258064,0.7567741935483872,0.7651612903225806
2007-01-07,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7619354838709678,0.7719354838709678,0.7561290322580645,0.7641935483870967
2007-01-08,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7622580645161291,0.7722580645161291,0.7554838709677419,0.7632258064516129
2007-01-09,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7625806451612903,0.7725806451612903,0.7548387096774194,0.7622580645161291
2007-01-10,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7629032258064516,0.7729032258064517,0.7541935483870967,0.7612903225806452
2007-01-11,-0.778005182743073,0.106631629168987,-1.60488569736481,-0.12692703306675,-0.46309170126915,-0.110541515052319,0.7632258064516129,0.7732258064516129,0.7535483870967742,0.7603225806451613
